entailment_judgment	pair_ID	relatedness_score	sentence_A	sentence_B
CONTRADICTION	192.0	3.8	A motorcycle rider is standing up on the seat of a white motorcycle	No motorcycle rider is standing up on the seat of a motorcycle
CONTRADICTION	194.0	3.7	Nobody is on a motorcycle and is standing on the seat	Someone is on a black and white motorcycle and is standing on the seat
ENTAILMENT	200.0	4.6	A motorcyclist is riding a motorbike dangerously along a roadway	A motorcyclist is riding a motorbike along a roadway
CONTRADICTION	201.0	3.7	There is no motorcyclist riding a motorbike along a roadway	A motorcyclist is riding a motorbike along a roadway
ENTAILMENT	202.0	4.8	A man with a helmet painted red is riding a blue motorcycle down the road	A motorcyclist with a red helmet is riding a blue motorcycle down the road
NEUTRAL	205.0	3.3	A motorcyclist without a helmet is waiting on a blue motorcycle near the road	A motorcyclist is riding a motorbike along a roadway
NEUTRAL	215.0	3.7	Two dogs are playing by a tree	A dog is catching a stick in the air and another is watching
NEUTRAL	216.0	2.7	Two dogs are playing by a tree	There is no dog leaping in the air
NEUTRAL	217.0	3.0	Two dogs are playing by a tree	A dog is leaping high in the air and another is watching
NEUTRAL	223.0	4.0	A girl in white is dancing	The dancer is dancing in front of the sound equipment
NEUTRAL	224.0	3.3	A girl in white is dancing	The blond girl is dancing behind the sound equipment
NEUTRAL	226.0	3.5	A girl is wearing white clothes and is dancing	The blond girl is dancing in front of the sound equipment
NEUTRAL	227.0	3.3	The blond girl is dancing in front of the sound equipment	There is no girl in white dancing
CONTRADICTION	232.0	3.9	Three Asian kids are dancing and a man is looking	Three Asian kids are dancing and there is no man looking
NEUTRAL	233.0	3.7	Three Asian kids are dancing and a man is looking	An Asian man is dancing and three kids are looking
NEUTRAL	234.0	1.9	The children of a family are playing and waiting	Three Asian kids are dancing and a serious man is looking
NEUTRAL	237.0	2.3	The children of a family are patiently playing and waiting	Three Asian kids are dancing and a man is looking
NEUTRAL	238.0	1.6	There are no children playing and waiting	Three Asian kids are dancing and a man is looking
ENTAILMENT	240.0	4.3	A woman is wearing an Egyptian hat on her head	A woman is wearing an Egyptian headdress
NEUTRAL	241.0	4.0	A woman is wearing an Egyptian headdress	A woman is wearing an Indian headdress
NEUTRAL	248.0	3.6	The black woman is wearing glasses over the headdress	A woman is wearing an Egyptian headdress
NEUTRAL	249.0	2.5	A woman is wearing an Egyptian hat on her head	The woman is wearing glasses and a black headdress
CONTRADICTION	254.0	3.2	A hiker is on top of the mountain and is dancing	There is no hiker dancing on top of the mountain
CONTRADICTION	256.0	4.3	There is no man on a rock high above some trees standing in a strange position	A man is on a rock high above some trees and is standing in a strange position
NEUTRAL	257.0	2.5	A hiker is on top of the mountain and is dancing	A man is on a rock high above some trees and is standing in an uncomfortable position
NEUTRAL	258.0	2.5	A hiker is on top of the mountain and is dancing	There is no man on a rock high above some trees standing in a strange position
NEUTRAL	259.0	2.9	A man is on a rock high above some trees and is standing in a strange position	A hiker is on top of the mountain and is doing a joyful dance
NEUTRAL	260.0	2.4	There is no hiker dancing on top of the mountain	A man is on a rock high above some trees and is standing in a strange position
ENTAILMENT	265.0	4.8	The brown horse is very near a red barrel at the rodeo	The brown horse is near a red barrel at the rodeo
CONTRADICTION	266.0	3.6	The brown horse is near a red barrel at the rodeo	The brown horse is far from a red barrel at the rodeo
NEUTRAL	269.0	3.2	A cowgirl is riding a brown horse and is cornering a barrel	The brown horse is near a red barrel at the rodeo
NEUTRAL	272.0	3.8	A cowgirl is riding a horse and corners a barrel	The brown horse is near a red barrel at the rodeo
ENTAILMENT	273.0	4.1	A boy is standing in the cold water	A boy is standing in the water
CONTRADICTION	276.0	3.2	The boy is sitting near the blue ocean	The boy is wading through the blue ocean
NEUTRAL	277.0	3.0	A boy is standing in the water	The kid is swimming through the blue ocean
NEUTRAL	279.0	3.3	The boy is wading through the blue ocean	A boy is standing in the cold water
CONTRADICTION	283.0	3.6	A man is playing a guitar on stage	There is no man playing a guitar on stage
NEUTRAL	286.0	3.0	A man is playing a guitar on stage	A guitarist has blonde and flyaway hair
NEUTRAL	287.0	3.8	A man is playing a guitar on stage	A bald person is playing a guitar
NEUTRAL	289.0	3.4	There is no man playing a guitar on stage	A person has blonde and flyaway hair and is playing a guitar
NEUTRAL	291.0	4.0	Several children are sitting down and have their knees raised	Several children are lying down and are raising their knees
ENTAILMENT	293.0	4.4	Two young girls are sitting on the ground	Two girls are sitting on the ground
NEUTRAL	296.0	2.8	Two girls are lying on the ground	Several children are sitting down and have their knees raised
CONTRADICTION	301.0	2.9	A nude lady is walking in front of a crowd in body paint	There is no lady walking in body paint in front of a crowd 
NEUTRAL	302.0	3.1	A nude lady is walking in front of a crowd in body paint	A nude crowd in body paint is walking in front of a lady 
ENTAILMENT	303.0	4.4	A young, topless woman is covered in paint	A topless girl is covered in paint
ENTAILMENT	305.0	3.8	A nude lady is walking in front of a crowd in body paint	A topless girl is covered in paint
NEUTRAL	309.0	3.0	A nude crowd in body paint is walking in front of a lady 	A young, topless woman is covered in paint
NEUTRAL	310.0	4.2	A nude lady is walking in front of a crowd in body paint	A young, topless woman is covered in paint
ENTAILMENT	311.0	4.3	A group of people is near the ocean	A crowd of people is near the water
CONTRADICTION	312.0	3.8	A crowd of people is near the water	A crowd of people is far from the water
ENTAILMENT	313.0	4.5	A group of children in uniforms is standing at a gate and one is kissing the mother	A group of children wearing the same clothes is waiting at a gate and one is kissing the mother
NEUTRAL	315.0	3.3	A group of mothers in uniforms is standing near the children and one is kissing the gate	A group of children in uniforms is standing at a gate and one is kissing the mother
NEUTRAL	323.0	3.9	A man is in a parking lot and is playing tennis against a large wall	A man is in a parking lot and is playing tennis against a friend
NEUTRAL	327.0	1.5	A man is in a parking lot and is playing tennis against a large wall	There is no man pointing at a car
NEUTRAL	329.0	1.3	A man is in a parking lot and is playing tennis against a friend	A man is pointing at a silver sedan
ENTAILMENT	331.0	4.0	A group of people is on a beach	A group of people is near the sea
NEUTRAL	332.0	2.6	A group of people is on a beach	A group of people is on a mountain
ENTAILMENT	333.0	4.5	A man, a woman and two girls are walking on the beach	Four people are walking on the beach
NEUTRAL	335.0	4.6	A group of people is on a beach	Four people are walking on the beach
NEUTRAL	338.0	1.4	A man, a woman and two girls are walking on the beach	A group of people is on a mountain
ENTAILMENT	339.0	4.3	A man, a woman and two girls are walking on the beach	A group of people is on a beach
ENTAILMENT	340.0	4.7	A schoolgirl with a black bag is on a crowded train	A girl with a black bag is on a crowded train
CONTRADICTION	341.0	3.7	There is no girl with a black bag on a crowded train	A girl with a black bag is on a crowded train
NEUTRAL	342.0	2.7	A girl with a black bag is on a crowded train	A cramped black train is on the bag of a girl
NEUTRAL	344.0	3.8	An Asian woman in a crowd is not carrying a black bag	An Asian woman in a crowd is carrying a black bag
NEUTRAL	346.0	2.5	A girl with a black bag is on a crowded train	An Asian woman in a crowd is not carrying a black bag
NEUTRAL	347.0	2.8	A schoolgirl with a black bag is on a crowded train	An Asian woman in a crowd is carrying a black bag
ENTAILMENT	351.0	4.6	A dog is chasing another and is holding a stick in its mouth	A dog is chasing another and is holding a piece of wood in its mouth
ENTAILMENT	354.0	4.3	Two dogs are running and carrying a toy in their mouths	Two dogs are running and carrying an object in their mouths
NEUTRAL	358.0	3.9	A dog is chasing another and is holding a piece of wood in its mouth	Two dogs are running and carrying an object in their mouths
NEUTRAL	360.0	3.2	Two dogs are running and carrying an object in their mouths	A dog is chasing a stick and holding another dog in its mouth
ENTAILMENT	361.0	4.0	A dog is chasing another and is holding a stick in its mouth	Two dogs are running and carrying an object in their mouths
ENTAILMENT	362.0	4.5	A dirty soccer ball is rolling into a goal net	A soccer ball is rolling into a goal net
CONTRADICTION	363.0	3.4	A soccer ball is not rolling into a goal net	A soccer ball is rolling into a goal net
NEUTRAL	366.0	4.1	A person who plays soccer is kicking a ball into the goal	A soccer ball is rolling into a goal net
NEUTRAL	367.0	3.2	A soccer ball is rolling into a goal net	A soccer player is kicking a ball out of the goal
NEUTRAL	370.0	4.3	A soccer ball is rolling into a goal net	A soccer player is kicking a ball into the goal
CONTRADICTION	372.0	3.8	A man is sitting on a chair and rubbing his eyes	There is no man sitting on a chair and rubbing his eyes
ENTAILMENT	373.0	4.4	A man with tattoos is lounging on a couch and holding a pencil	A tattooed man is on a sofa and is holding a pencil
NEUTRAL	374.0	2.9	A man with tattoos is lounging on a couch and holding a pencil	A man with tattoos is lounging on a couch and is looking for a pencil
NEUTRAL	375.0	2.6	A man with tattoos is holding a couch with a pencil	A man with tattoos is lounging on a couch and holding a pencil
NEUTRAL	377.0	2.1	A man is sitting on a chair and rubbing his eyes	A man with tattoos is lounging on a couch and is looking for a pencil
NEUTRAL	378.0	2.0	A man with tattoos is holding a couch with a pencil	A man is sitting on a chair and rubbing his eyes
NEUTRAL	379.0	2.5	A man is resting on a chair and rubbing his eyes	A man with tattoos is lounging on a couch and holding a pencil
NEUTRAL	380.0	1.6	A man with tattoos is lounging on a couch and holding a pencil	There is no man sitting on a chair and rubbing his eyes
NEUTRAL	381.0	2.4	A man with tattoos is lounging on a couch and holding a pencil	A man is sitting on a chair and rubbing his eyes
NEUTRAL	387.0	3.8	A brown and white dog is running through the tall grass	A black and tan dog is running through the low and green grass
ENTAILMENT	390.0	4.6	A white and tan dog is running through the tall and green grass	A brown and white dog is running through the tall grass
ENTAILMENT	391.0	4.8	A man with paint covered clothes is sitting outside in a busy area writing something	A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something
CONTRADICTION	392.0	4.1	There is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something	A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something
NEUTRAL	393.0	3.7	A sitting man is busy writing something in an area covered by paint	A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something
CONTRADICTION	395.0	4.2	A man is sitting near a bike and is writing a note	There is no man writing a note near a bike
NEUTRAL	396.0	2.6	A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something	A man is standing near a bike and is writing on a piece paper
NEUTRAL	397.0	2.7	There is no man writing a note near a bike	A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something
NEUTRAL	398.0	3.1	A man is sitting near a bike and is writing a note	A man with paint covered clothes is sitting outside in a busy area writing something
NEUTRAL	403.0	3.5	A group of scouts are camping in the grass	A group of scouts are hiking through the grass
ENTAILMENT	404.0	4.7	Some people are walking	People are walking
NEUTRAL	409.0	1.5	Some people are walking	A group of scouts are camping in the grass
ENTAILMENT	410.0	3.2	A group of scouts are hiking through the grass	Some people are walking
NEUTRAL	413.0	3.0	Two men are taking a break from a trip on a snowy road	Two men are breaking into a car during a trip on a snowy road
NEUTRAL	415.0	3.5	Two men with bikes are on the side of a snowy road	Two men with cars are on the side of a snowy road
ENTAILMENT	422.0	4.3	Two men are holding fishing poles and fishing tackle	Two men are holding fishing poles
CONTRADICTION	423.0	3.2	Two men are not holding fishing poles	Two men are holding fishing poles
NEUTRAL	427.0	4.3	Two men are holding fishing poles	Two men are standing near the water and are holding tools used for fishing
NEUTRAL	428.0	3.2	There is no man standing near the water and holding fishing poles	Two men are holding fishing poles
NEUTRAL	434.0	4.2	The helmeted girl is riding a bike	The helmeted girl is perching on a bike
NEUTRAL	435.0	4.3	A woman is performing a trick on a ramp with a bicycle	A woman is jumping with a bicycle
NEUTRAL	436.0	2.4	A woman is performing a trick on a ramp with a bicycle	A woman is performing a trick on a ramp with a car
NEUTRAL	438.0	1.9	The helmeted girl is perching on a bike	A woman is performing a trick on a ramp with a car
NEUTRAL	439.0	2.9	The girl with a helmet is perching on a bike	A woman is performing a trick on a ramp with a bicycle
NEUTRAL	440.0	3.7	The helmeted girl is riding a bike	A woman is performing a trick on a ramp with a bicycle
NEUTRAL	441.0	3.3	A woman is performing a trick on a ramp with a bicycle	The helmeted girl is perching on a bike
ENTAILMENT	442.0	4.7	A blonds girl is surfing	A blond girl is riding the waves
NEUTRAL	446.0	3.5	A lady is surfing and riding a wave	A boy is surfing and riding a wave
NEUTRAL	447.0	4.0	A woman is surfing	A blond girl is riding the waves
NEUTRAL	449.0	3.6	A lady is surfing and riding a wave	A blonds girl is surfing
NEUTRAL	451.0	2.3	A blond girl waves while she is riding	A lady is surfing and riding a wave
CONTRADICTION	454.0	3.6	Two children and an adult are standing next to a tree limb	Two children and an adult are not standing next to a tree limb
NEUTRAL	457.0	3.0	Two children and an adult are standing next to a tree limb	Two children are climbing a tree
NEUTRAL	461.0	2.7	Two children and an adult are standing next to a tree limb	Two children are hanging on a large branch
NEUTRAL	462.0	3.5	A man dressed in black is riding a bike	A man is performing a trick on a bike
ENTAILMENT	465.0	4.7	A man is performing stunts on a green bicycle	A man is performing a trick on a green bicycle
NEUTRAL	470.0	3.4	There is no man dressed in black and riding a green bike	A man is performing a trick on a green bicycle
ENTAILMENT	473.0	4.5	A boy is holding a squirt gun	A child is holding a squirt gun
NEUTRAL	475.0	4.0	A laughing child is holding a water gun and getting sprayed with water	A child with a gun that sprays water is laughing and getting hit by other boys
CONTRADICTION	476.0	4.0	There is no child holding a water gun or getting sprayed with water	A laughing child is holding a water gun and getting sprayed with water
ENTAILMENT	477.0	3.9	A child with a gun that sprays water is laughing and getting hit by other boys	A child is holding a squirt gun
NEUTRAL	484.0	4.2	Two daschunds are playing with a red ball	Two dogs are playing with a small red ball
NEUTRAL	485.0	3.3	Two cats are playing with a red ball	Two daschunds are playing with a red ball
NEUTRAL	486.0	3.8	Two brown dogs are fighting over a red ball and are playing in the grass	Two dogs are playing with a small red ball
CONTRADICTION	489.0	3.0	There is no dog playing with a red ball	Two daschunds are playing with a red ball
ENTAILMENT	491.0	4.9	The black and white dog is running and a person stands behind it	The dog, which is black and white, is running and a person stands behind it
ENTAILMENT	494.0	4.8	A little dog is sprinting and the person who owns it is trying to catch it	A little dog is sprinting and its owner is trying to catch it
NEUTRAL	496.0	3.0	The black and white dog is running and a person stands behind it	A little dog is sprinting and the person who owns it is trying to catch it
NEUTRAL	497.0	2.9	The black and white dog is running and a person stands behind it	A little dog is slowing down and the owner is quitting chasing it
NEUTRAL	499.0	2.7	The black and white dog isn't running and there is no person standing behind	A little dog is sprinting and its owner is trying to catch it
NEUTRAL	500.0	2.5	A black person is running along a white stand and a dog barks behind him	A little dog is sprinting and its owner is trying to catch it
ENTAILMENT	505.0	4.7	A man wearing a dyed black shirt is sitting at the table and laughing	A black shirt is being worn by a man who is sitting at the table and laughing
CONTRADICTION	506.0	3.7	A man wearing a dyed black shirt is sitting at the table and laughing	There is no man wearing a shirt dyed black, sitting at the table and laughing
NEUTRAL	507.0	3.6	A laughing man is dyeing a shirt black on the table which you cannot sit at 	A man wearing a dyed black shirt is sitting at the table and laughing
NEUTRAL	508.0	3.5	A black shirt is being worn by a man who is sitting at the table and laughing	A man is sitting comfortably at a table
NEUTRAL	513.0	2.4	A man is sitting and tables a comfortable discussion	A man wearing a dyed black shirt is sitting at the table and laughing
NEUTRAL	514.0	3.9	A man is sitting comfortably at a table	A man wearing a dyed black shirt is sitting at the table and laughing
ENTAILMENT	515.0	4.3	A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians	A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians
NEUTRAL	516.0	3.7	A woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians	A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians
NEUTRAL	522.0	2.6	A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians	The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike
NEUTRAL	524.0	3.7	A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike
NEUTRAL	527.0	2.5	A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike
ENTAILMENT	528.0	4.7	A person, who is riding a bike, is wearing gear which is black	A biker is wearing gear which is black
CONTRADICTION	529.0	3.315	A biker is naked	A biker is wearing gear which is black
ENTAILMENT	531.0	4.8	A black helmet is being worn by a man who is pushing a bicycle	One man is wearing a black helmet and pushing a bicycle
NEUTRAL	535.0	2.7	A biker is wearing gear which is black	There is no man wearing a black helmet and pushing a bicycle
NEUTRAL	538.0	2.6	One man is wearing a black helmet and pushing a bicycle	A biker is naked
ENTAILMENT	541.0	4.9	The man in a grey t-shirt is sitting on a rock in front of the waterfall	The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall
CONTRADICTION	542.0	3.5	The man in a grey t-shirt is sitting on a rock in front of the waterfall	There is no man in a grey t-shirt sitting on a rock in front of the waterfall
NEUTRAL	545.0	3.1	A woman is standing and isn't looking at the waterfall	A woman is sitting and looking at the waterfall
NEUTRAL	548.0	2.5	A woman is standing and isn't looking at the waterfall	The man in a grey t-shirt is sitting on a rock in front of the waterfall
NEUTRAL	550.0	3.1	The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall	A woman is sitting and looking at the waterfall
NEUTRAL	551.0	1.9	There is no man in a grey t-shirt sitting on a rock in front of the waterfall	A woman is sitting and looking at the waterfall
NEUTRAL	552.0	2.5	A woman is sitting and looking at the waterfall	A rocker is sitting with a t-shirt that has a man over a grey waterfall on the front
CONTRADICTION	555.0	3.4	A dog, which is brown, and a black one are running in the grass	There is no dog running in the grass
NEUTRAL	556.0	2.5	A black man is running in brown grass and racing a dog	A dog, which is brown, and a black one are running in the grass
ENTAILMENT	557.0	4.9	A dark black dog and a light brown dog are playing in the yard in the back	A dark black dog and a light brown dog are playing in the backyard
NEUTRAL	560.0	4.0	A dark black dog and a light brown dog are playing in the yard in the back	A dog, which is brown, and a black one are running in the grass
NEUTRAL	561.0	3.6	A dark black dog and a light brown dog are fighting in the backyard	A dog, which is brown, and a black one are running in the grass
NEUTRAL	564.0	3.1	There is no dog running in the grass	A dark black dog and a light brown dog are playing in the backyard
NEUTRAL	565.0	2.0	A dark black dog and a light brown dog are playing in the backyard	A black man is running in brown grass and racing a dog
NEUTRAL	568.0	4.1	A dog that has a brown and white coat is sitting in shallow water	A dog that has a brown and white coat is trotting through shallow water
ENTAILMENT	570.0	4.5	A white and brown dog is walking through the water with difficulty	A white and brown dog is pacing through the water with difficulty
NEUTRAL	581.0	3.5	A group of boys are quiet in front of a large door made of wood	A group of boys are playing with a ball in front of a large door made of wood
NEUTRAL	586.0	3.4	The children aren't playing in front of a large door	A group of boys are playing with a ball in front of a large door made of wood
ENTAILMENT	587.0	3.4	A bunch of boys are playing with a ball in front of a large door made of wood	The children are playing in front of a large door
NEUTRAL	588.0	3.4	The children are playing in front of a large door	A group of boys are quiet in front of a large door made of wood
NEUTRAL	597.0	2.8	A black, red, white and pink dress is being worn by a woman	A woman is taking off a cloak, which is very large, and revealing extravagant apparel
NEUTRAL	599.0	3.4	A woman is taking off a cloak, which is very large, and revealing an extravagant dress	A black, red, white and pink dress is being worn by a woman
NEUTRAL	601.0	3.8	A teenage girl is storing away beads that are red	A teenage girl is wearing beads that are red
ENTAILMENT	603.0	5.0	A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling	A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling
CONTRADICTION	604.0	3.7	A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling	There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling
NEUTRAL	605.0	3.3	A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling	A red sweatshirt with a smiling lady upon it is suited to be worn with light brown hair, earrings and a necklace 
NEUTRAL	606.0	3.1	A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling	A teenage girl is wearing beads that are red
NEUTRAL	609.0	2.4	A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling	The teenage girl is wearing beads that are red
NEUTRAL	611.0	2.3	The girl likes red and isn't wearing beads for teenagers	A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling
NEUTRAL	617.0	3.4	A fearful little boy is on a climbing wall	A fearful little boy is on the ground
