pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment
192,motorcycle rider standing seat white motorcycle,motorcycle rider standing seat motorcycle,3.8,CONTRADICTION
194,nobody motorcycle standing seat,someone black white motorcycle standing seat,3.7,CONTRADICTION
200,motorcyclist riding motorbike dangerously along roadway,motorcyclist riding motorbike along roadway,4.6,ENTAILMENT
201,motorcyclist riding motorbike along roadway,motorcyclist riding motorbike along roadway,3.7,CONTRADICTION
202,man helmet painted red riding blue motorcycle road,motorcyclist red helmet riding blue motorcycle road,4.8,ENTAILMENT
205,motorcyclist without helmet waiting blue motorcycle near road,motorcyclist riding motorbike along roadway,3.3,NEUTRAL
215,two dogs playing tree,dog catching stick air another watching,3.7,NEUTRAL
216,two dogs playing tree,dog leaping air,2.7,NEUTRAL
217,two dogs playing tree,dog leaping high air another watching,3,NEUTRAL
223,girl white dancing,dancer dancing front sound equipment,4,NEUTRAL
224,girl white dancing,blond girl dancing behind sound equipment,3.3,NEUTRAL
226,girl wearing white clothes dancing,blond girl dancing front sound equipment,3.5,NEUTRAL
227,blond girl dancing front sound equipment,girl white dancing,3.3,NEUTRAL
232,three asian kids dancing man looking,three asian kids dancing man looking,3.9,CONTRADICTION
233,three asian kids dancing man looking,asian man dancing three kids looking,3.7,NEUTRAL
234,children family playing waiting,three asian kids dancing serious man looking,1.9,NEUTRAL
237,children family patiently playing waiting,three asian kids dancing man looking,2.3,NEUTRAL
238,children playing waiting,three asian kids dancing man looking,1.6,NEUTRAL
240,woman wearing egyptian hat head,woman wearing egyptian headdress,4.3,ENTAILMENT
241,woman wearing egyptian headdress,woman wearing indian headdress,4,NEUTRAL
248,black woman wearing glasses headdress,woman wearing egyptian headdress,3.6,NEUTRAL
249,woman wearing egyptian hat head,woman wearing glasses black headdress,2.5,NEUTRAL
254,hiker top mountain dancing,hiker dancing top mountain,3.2,CONTRADICTION
256,man rock high trees standing strange position,man rock high trees standing strange position,4.3,CONTRADICTION
257,hiker top mountain dancing,man rock high trees standing uncomfortable position,2.5,NEUTRAL
258,hiker top mountain dancing,man rock high trees standing strange position,2.5,NEUTRAL
259,man rock high trees standing strange position,hiker top mountain joyful dance,2.9,NEUTRAL
260,hiker dancing top mountain,man rock high trees standing strange position,2.4,NEUTRAL
265,brown horse near red barrel rodeo,brown horse near red barrel rodeo,4.8,ENTAILMENT
266,brown horse near red barrel rodeo,brown horse far red barrel rodeo,3.6,CONTRADICTION
269,cowgirl riding brown horse cornering barrel,brown horse near red barrel rodeo,3.2,NEUTRAL
272,cowgirl riding horse corners barrel,brown horse near red barrel rodeo,3.8,NEUTRAL
273,boy standing cold water,boy standing water,4.1,ENTAILMENT
276,boy sitting near blue ocean,boy wading blue ocean,3.2,CONTRADICTION
277,boy standing water,kid swimming blue ocean,3,NEUTRAL
279,boy wading blue ocean,boy standing cold water,3.3,NEUTRAL
283,man playing guitar stage,man playing guitar stage,3.6,CONTRADICTION
286,man playing guitar stage,guitarist blonde flyaway hair,3,NEUTRAL
287,man playing guitar stage,bald person playing guitar,3.8,NEUTRAL
289,man playing guitar stage,person blonde flyaway hair playing guitar,3.4,NEUTRAL
291,several children sitting knees raised,several children lying raising knees,4,NEUTRAL
293,two young girls sitting ground,two girls sitting ground,4.4,ENTAILMENT
296,two girls lying ground,several children sitting knees raised,2.8,NEUTRAL
301,nude lady walking front crowd body paint,lady walking body paint front crowd,2.9,CONTRADICTION
302,nude lady walking front crowd body paint,nude crowd body paint walking front lady,3.1,NEUTRAL
303,"young, topless woman covered paint",topless girl covered paint,4.4,ENTAILMENT
305,nude lady walking front crowd body paint,topless girl covered paint,3.8,ENTAILMENT
309,nude crowd body paint walking front lady,"young, topless woman covered paint",3,NEUTRAL
310,nude lady walking front crowd body paint,"young, topless woman covered paint",4.2,NEUTRAL
311,group people near ocean,crowd people near water,4.3,ENTAILMENT
312,crowd people near water,crowd people far water,3.8,CONTRADICTION
313,group children uniforms standing gate one kissing mother,group children wearing clothes waiting gate one kissing mother,4.5,ENTAILMENT
315,group mothers uniforms standing near children one kissing gate,group children uniforms standing gate one kissing mother,3.3,NEUTRAL
323,man parking lot playing tennis large wall,man parking lot playing tennis friend,3.9,NEUTRAL
327,man parking lot playing tennis large wall,man pointing car,1.5,NEUTRAL
329,man parking lot playing tennis friend,man pointing silver sedan,1.3,NEUTRAL
331,group people beach,group people near sea,4,ENTAILMENT
332,group people beach,group people mountain,2.6,NEUTRAL
333,"man, woman two girls walking beach",four people walking beach,4.5,ENTAILMENT
335,group people beach,four people walking beach,4.6,NEUTRAL
338,"man, woman two girls walking beach",group people mountain,1.4,NEUTRAL
339,"man, woman two girls walking beach",group people beach,4.3,ENTAILMENT
340,schoolgirl black bag crowded train,girl black bag crowded train,4.7,ENTAILMENT
341,girl black bag crowded train,girl black bag crowded train,3.7,CONTRADICTION
342,girl black bag crowded train,cramped black train bag girl,2.7,NEUTRAL
344,asian woman crowd carrying black bag,asian woman crowd carrying black bag,3.8,NEUTRAL
346,girl black bag crowded train,asian woman crowd carrying black bag,2.5,NEUTRAL
347,schoolgirl black bag crowded train,asian woman crowd carrying black bag,2.8,NEUTRAL
351,dog chasing another holding stick mouth,dog chasing another holding piece wood mouth,4.6,ENTAILMENT
354,two dogs running carrying toy mouths,two dogs running carrying object mouths,4.3,ENTAILMENT
358,dog chasing another holding piece wood mouth,two dogs running carrying object mouths,3.9,NEUTRAL
360,two dogs running carrying object mouths,dog chasing stick holding another dog mouth,3.2,NEUTRAL
361,dog chasing another holding stick mouth,two dogs running carrying object mouths,4,ENTAILMENT
362,dirty soccer ball rolling goal net,soccer ball rolling goal net,4.5,ENTAILMENT
363,soccer ball rolling goal net,soccer ball rolling goal net,3.4,CONTRADICTION
366,person plays soccer kicking ball goal,soccer ball rolling goal net,4.1,NEUTRAL
367,soccer ball rolling goal net,soccer player kicking ball goal,3.2,NEUTRAL
370,soccer ball rolling goal net,soccer player kicking ball goal,4.3,NEUTRAL
372,man sitting chair rubbing eyes,man sitting chair rubbing eyes,3.8,CONTRADICTION
373,man tattoos lounging couch holding pencil,tattooed man sofa holding pencil,4.4,ENTAILMENT
374,man tattoos lounging couch holding pencil,man tattoos lounging couch looking pencil,2.9,NEUTRAL
375,man tattoos holding couch pencil,man tattoos lounging couch holding pencil,2.6,NEUTRAL
377,man sitting chair rubbing eyes,man tattoos lounging couch looking pencil,2.1,NEUTRAL
378,man tattoos holding couch pencil,man sitting chair rubbing eyes,2,NEUTRAL
379,man resting chair rubbing eyes,man tattoos lounging couch holding pencil,2.5,NEUTRAL
380,man tattoos lounging couch holding pencil,man sitting chair rubbing eyes,1.6,NEUTRAL
381,man tattoos lounging couch holding pencil,man sitting chair rubbing eyes,2.4,NEUTRAL
387,brown white dog running tall grass,black tan dog running low green grass,3.8,NEUTRAL
390,white tan dog running tall green grass,brown white dog running tall grass,4.6,ENTAILMENT
391,man paint covered clothes sitting outside busy area writing something,man wearing clothes covered paint sitting outside busy area writing something,4.8,ENTAILMENT
392,man wearing clothes covered paint sitting outside busy area writing something,man wearing clothes covered paint sitting outside busy area writing something,4.1,CONTRADICTION
393,sitting man busy writing something area covered paint,man wearing clothes covered paint sitting outside busy area writing something,3.7,NEUTRAL
395,man sitting near bike writing note,man writing note near bike,4.2,CONTRADICTION
396,man wearing clothes covered paint sitting outside busy area writing something,man standing near bike writing piece paper,2.6,NEUTRAL
397,man writing note near bike,man wearing clothes covered paint sitting outside busy area writing something,2.7,NEUTRAL
398,man sitting near bike writing note,man paint covered clothes sitting outside busy area writing something,3.1,NEUTRAL
403,group scouts camping grass,group scouts hiking grass,3.5,NEUTRAL
404,people walking,people walking,4.7,ENTAILMENT
409,people walking,group scouts camping grass,1.5,NEUTRAL
410,group scouts hiking grass,people walking,3.2,ENTAILMENT
413,two men taking break trip snowy road,two men breaking car trip snowy road,3,NEUTRAL
415,two men bikes side snowy road,two men cars side snowy road,3.5,NEUTRAL
422,two men holding fishing poles fishing tackle,two men holding fishing poles,4.3,ENTAILMENT
423,two men holding fishing poles,two men holding fishing poles,3.2,CONTRADICTION
427,two men holding fishing poles,two men standing near water holding tools used fishing,4.3,NEUTRAL
428,man standing near water holding fishing poles,two men holding fishing poles,3.2,NEUTRAL
434,helmeted girl riding bike,helmeted girl perching bike,4.2,NEUTRAL
435,woman performing trick ramp bicycle,woman jumping bicycle,4.3,NEUTRAL
436,woman performing trick ramp bicycle,woman performing trick ramp car,2.4,NEUTRAL
438,helmeted girl perching bike,woman performing trick ramp car,1.9,NEUTRAL
439,girl helmet perching bike,woman performing trick ramp bicycle,2.9,NEUTRAL
440,helmeted girl riding bike,woman performing trick ramp bicycle,3.7,NEUTRAL
441,woman performing trick ramp bicycle,helmeted girl perching bike,3.3,NEUTRAL
442,blonds girl surfing,blond girl riding waves,4.7,ENTAILMENT
446,lady surfing riding wave,boy surfing riding wave,3.5,NEUTRAL
447,woman surfing,blond girl riding waves,4,NEUTRAL
449,lady surfing riding wave,blonds girl surfing,3.6,NEUTRAL
451,blond girl waves riding,lady surfing riding wave,2.3,NEUTRAL
454,two children adult standing next tree limb,two children adult standing next tree limb,3.6,CONTRADICTION
457,two children adult standing next tree limb,two children climbing tree,3,NEUTRAL
461,two children adult standing next tree limb,two children hanging large branch,2.7,NEUTRAL
462,man dressed black riding bike,man performing trick bike,3.5,NEUTRAL
465,man performing stunts green bicycle,man performing trick green bicycle,4.7,ENTAILMENT
470,man dressed black riding green bike,man performing trick green bicycle,3.4,NEUTRAL
473,boy holding squirt gun,child holding squirt gun,4.5,ENTAILMENT
475,laughing child holding water gun getting sprayed water,child gun sprays water laughing getting hit boys,4,NEUTRAL
476,child holding water gun getting sprayed water,laughing child holding water gun getting sprayed water,4,CONTRADICTION
477,child gun sprays water laughing getting hit boys,child holding squirt gun,3.9,ENTAILMENT
484,two daschunds playing red ball,two dogs playing small red ball,4.2,NEUTRAL
485,two cats playing red ball,two daschunds playing red ball,3.3,NEUTRAL
486,two brown dogs fighting red ball playing grass,two dogs playing small red ball,3.8,NEUTRAL
489,dog playing red ball,two daschunds playing red ball,3,CONTRADICTION
491,black white dog running person stands behind,"dog, black white, running person stands behind",4.9,ENTAILMENT
494,little dog sprinting person owns trying catch,little dog sprinting owner trying catch,4.8,ENTAILMENT
496,black white dog running person stands behind,little dog sprinting person owns trying catch,3,NEUTRAL
497,black white dog running person stands behind,little dog slowing owner quitting chasing,2.9,NEUTRAL
499,black white dog running person standing behind,little dog sprinting owner trying catch,2.7,NEUTRAL
500,black person running along white stand dog barks behind,little dog sprinting owner trying catch,2.5,NEUTRAL
505,man wearing dyed black shirt sitting table laughing,black shirt worn man sitting table laughing,4.7,ENTAILMENT
506,man wearing dyed black shirt sitting table laughing,"man wearing shirt dyed black, sitting table laughing",3.7,CONTRADICTION
507,laughing man dyeing shirt black table cannot sit,man wearing dyed black shirt sitting table laughing,3.6,NEUTRAL
508,black shirt worn man sitting table laughing,man sitting comfortably table,3.5,NEUTRAL
513,man sitting tables comfortable discussion,man wearing dyed black shirt sitting table laughing,2.4,NEUTRAL
514,man sitting comfortably table,man wearing dyed black shirt sitting table laughing,3.9,NEUTRAL
515,woman wearing pink boa riding bicycle bridge built pedestrians,woman wearing pink scarf riding bike bridge built pedestrians,4.3,ENTAILMENT
516,woman taking pink boa stopping bicycle bridge built pedestrians,woman wearing pink boa riding bicycle bridge built pedestrians,3.7,NEUTRAL
522,woman wearing pink boa riding bicycle bridge built pedestrians,"woman wearing silver pants, pink bellbottoms pink scarf riding bike",2.6,NEUTRAL
524,woman wearing pink scarf riding bike bridge built pedestrians,"woman wearing silver pants, pink bellbottoms pink scarf riding bike",3.7,NEUTRAL
527,woman wearing pink boa riding bicycle bridge built pedestrians,"woman wearing silver pants, pink bellbottoms pink scarf riding bike",2.5,NEUTRAL
528,"person, riding bike, wearing gear black",biker wearing gear black,4.7,ENTAILMENT
529,biker naked,biker wearing gear black,3.315,CONTRADICTION
531,black helmet worn man pushing bicycle,one man wearing black helmet pushing bicycle,4.8,ENTAILMENT
535,biker wearing gear black,man wearing black helmet pushing bicycle,2.7,NEUTRAL
538,one man wearing black helmet pushing bicycle,biker naked,2.6,NEUTRAL
541,man grey t-shirt sitting rock front waterfall,man t-shirt dyed grey sitting rock front waterfall,4.9,ENTAILMENT
542,man grey t-shirt sitting rock front waterfall,man grey t-shirt sitting rock front waterfall,3.5,CONTRADICTION
545,woman standing looking waterfall,woman sitting looking waterfall,3.1,NEUTRAL
548,woman standing looking waterfall,man grey t-shirt sitting rock front waterfall,2.5,NEUTRAL
550,man t-shirt dyed grey sitting rock front waterfall,woman sitting looking waterfall,3.1,NEUTRAL
551,man grey t-shirt sitting rock front waterfall,woman sitting looking waterfall,1.9,NEUTRAL
552,woman sitting looking waterfall,rocker sitting t-shirt man grey waterfall front,2.5,NEUTRAL
555,"dog, brown, black one running grass",dog running grass,3.4,CONTRADICTION
556,black man running brown grass racing dog,"dog, brown, black one running grass",2.5,NEUTRAL
557,dark black dog light brown dog playing yard back,dark black dog light brown dog playing backyard,4.9,ENTAILMENT
560,dark black dog light brown dog playing yard back,"dog, brown, black one running grass",4,NEUTRAL
561,dark black dog light brown dog fighting backyard,"dog, brown, black one running grass",3.6,NEUTRAL
564,dog running grass,dark black dog light brown dog playing backyard,3.1,NEUTRAL
565,dark black dog light brown dog playing backyard,black man running brown grass racing dog,2,NEUTRAL
568,dog brown white coat sitting shallow water,dog brown white coat trotting shallow water,4.1,NEUTRAL
570,white brown dog walking water difficulty,white brown dog pacing water difficulty,4.5,ENTAILMENT
581,group boys quiet front large door made wood,group boys playing ball front large door made wood,3.5,NEUTRAL
586,children playing front large door,group boys playing ball front large door made wood,3.4,NEUTRAL
587,bunch boys playing ball front large door made wood,children playing front large door,3.4,ENTAILMENT
588,children playing front large door,group boys quiet front large door made wood,3.4,NEUTRAL
597,"black, red, white pink dress worn woman","woman taking cloak, large, revealing extravagant apparel",2.8,NEUTRAL
599,"woman taking cloak, large, revealing extravagant dress","black, red, white pink dress worn woman",3.4,NEUTRAL
601,teenage girl storing away beads red,teenage girl wearing beads red,3.8,NEUTRAL
603,"young lady light brown hair wearing red necklace, sweatshirt earrings smiling","lady young age, light brown hair, wearing red necklace, sweatshirt earrings smiling",5,ENTAILMENT
604,"young lady light brown hair wearing red necklace, sweatshirt earrings smiling","young lady light brown hair wearing red necklace, sweatshirt earrings smiling",3.7,CONTRADICTION
605,"young lady light brown hair wearing red necklace, sweatshirt earrings smiling","red sweatshirt smiling lady upon suited worn light brown hair, earrings necklace",3.3,NEUTRAL
606,"lady young age, light brown hair, wearing red necklace, sweatshirt earrings smiling",teenage girl wearing beads red,3.1,NEUTRAL
609,"young lady light brown hair wearing red necklace, sweatshirt earrings smiling",teenage girl wearing beads red,2.4,NEUTRAL
611,girl likes red wearing beads teenagers,"young lady light brown hair wearing red necklace, sweatshirt earrings smiling",2.3,NEUTRAL
617,fearful little boy climbing wall,fearful little boy ground,3.4,NEUTRAL
621,boy climbing wall artificially built climbing attached rope,climbing boy rescues fearful cat wall,2.2,NEUTRAL
622,fearful little boy climbing wall,boy effortlessly climbing wall artificially built climbing attached rope,4.1,NEUTRAL
625,boy climbing wall artificially built climbing attached rope,fearful little boy climbing wall,3.9,NEUTRAL
626,dad launching daughter swimming pool,father launching daughter swimming pool,4.8,ENTAILMENT
628,father swimming pool daughters launch,father launching daughter swimming pool,3.2,NEUTRAL
629,man tossing kid swimming pool near ocean,one man tossing kid swimming pool near ocean,4.8,ENTAILMENT
631,man tossing kid swimming pool near ocean,"kid swimming ocean tossing coin pool, near man",2.2,NEUTRAL
632,one man tossing kid swimming pool near ocean,father launching daughter swimming pool,3.9,NEUTRAL
634,"kid swimming ocean tossing coin pool, near man",father launching daughter swimming pool,1.6,NEUTRAL
637,father swimming pool daughters launch,man tossing kid swimming pool near ocean,2.515,NEUTRAL
638,father launching daughter swimming pool,man tossing kid swimming pool near ocean,3.8,NEUTRAL
641,social climber tying man cliff rope,one man climbing cliff rope,3.1,NEUTRAL
643,"person standing front rock rope, pink","person climbing rock rope, pink",3.9,NEUTRAL
645,"rock climbed person rope, pink",one man climbing cliff rope,4.3,ENTAILMENT
646,one man climbing cliff rope,"person standing front rock rope, pink",3.4,NEUTRAL
648,"person climbing rock rope, pink",one man climbing cliff rope,4.1,ENTAILMENT
649,"person climbing rock rope, pink",one man descending cliff rope,2.8,NEUTRAL
650,"person climbing rock rope, pink",social climber tying man cliff rope,2.685,NEUTRAL
653,young boy climbing wall made rock,young boy climbing wall made rock,4.1,CONTRADICTION
655,young child climbing rock climbing wall indoors,young kid climbing rock climbing wall indoors,4.7,ENTAILMENT
657,young child climbing rock climbing wall indoors,child indoors watching program young climbers rock wall .,3.2,NEUTRAL
660,child indoors watching program young climbers rock wall .,young boy climbing wall made rock,3.4,NEUTRAL
661,one young boy climbing wall made rock,young child climbing rock climbing wall indoors,4.3,NEUTRAL
663,young climber making rock wall boys,young child climbing rock climbing wall indoors,2.9,NEUTRAL
668,cyclist performing trick air,cyclist performing trick air,3.8,CONTRADICTION
671,one man bicycle trick midair,cyclist performing trick air,2.9,NEUTRAL
672,one man bicycle trick midair,air tricking performing cyclist,3,NEUTRAL
676,"dog, black, white one staring street","dog, black, another one, white, staring street",4.9,ENTAILMENT
678,"dog, black, white one staring street",one white dog staring black street,3.1,NEUTRAL
679,two dogs different breeds looking angrily across street,two dogs different breeds looking across street,4.6,ENTAILMENT
680,two dogs different breeds looking across street,dogs different breeds looking across street,3.9,CONTRADICTION
685,"dog, black, another one, white, staring street",two dogs different breeds looking across street,4.1,NEUTRAL
690,"dog next tree, probably pine, dropping bucket","dog next tree, probably pine, biting bucket",3.4,NEUTRAL
691,"dog next tree, probably pine, biting bucket",dog bucket biting tree probably pine,3.2,NEUTRAL
692,dog furry black backyard carrying basket mouth .,dog furry black back yard carrying basket mouth,5,ENTAILMENT
693,dog furry black back yard carrying basket mouth,dog furry black back yard carrying basket mouth .,3.7,CONTRADICTION
696,"dog next tree, probably pine, biting bucket",dog furry black back yard carrying basket mouth .,3.2,NEUTRAL
697,dog backyard carrying black fur basket mouth .,"dog next tree, probably pine, biting bucket",3.4,NEUTRAL
699,dog furry black back yard carrying basket mouth,"dog next tree, probably pine, dropping bucket",2.8,NEUTRAL
702,two persons large size sitting park bench bottle soda,two large persons sitting park bench bottle soda,4.7,ENTAILMENT
703,two large persons sitting park bench bottle soda,two large persons standing near park bench nothing,4.1,CONTRADICTION
704,two large park benches person sitting bottle soda,two large persons sitting park bench bottle soda,3.7,ENTAILMENT
709,man woman sitting comfortably bench,two persons large size sitting park bench bottle soda,3.3,NEUTRAL
715,man racing lead,man leading race,3.7,NEUTRAL
722,men competition running outside,one man leading race,3.1,NEUTRAL
723,man bringing rear race,men competition running outside,3.7,NEUTRAL
725,men competition running outside,man leading race,3.8,NEUTRAL
727,man camera studying subject,man camera studying subject,3.6,CONTRADICTION
728,man camera studying subject,study subject camera man,3.6,NEUTRAL
729,man dyed purple hat operating camera makes videos,man purple hat operating camera makes videos,4.9,ENTAILMENT
730,man purple hat operating camera makes videos,man purple hat operating camera makes videos,3.4,CONTRADICTION
731,man dyed purple hat operating camera makes videos,man camera studying subject,3.4,NEUTRAL
732,man camera studying subject,man purple hat operating camera makes videos,3.2,NEUTRAL
733,man purple hat operating camera makes videos,subject studied man camera,3.6,NEUTRAL
734,man purple hat operating camera makes videos,man camera studying subject,3.2,NEUTRAL
735,study subject camera man,man purple hat operating camera makes videos,2.8,NEUTRAL
736,man purple hat operating camera makes videos,man camera studying subject,3.3,NEUTRAL
737,bride groom leaving marriage,bride groom leaving wedding,4.8,ENTAILMENT
738,bride groom arriving wedding,bride groom leaving wedding,4.3,NEUTRAL
741,married couple walking aisle,married couple walking aisle,4.4,ENTAILMENT
745,priest walking aisle marry couple,bride groom leaving wedding,2.8,NEUTRAL
746,bride groom leaving marriage,married couple walking aisle,3.6,NEUTRAL
747,bride groom arriving wedding,married couple walking aisle,4,NEUTRAL
748,married couple walking aisle,bride leaving groom wedding,2.6,NEUTRAL
749,married couple walking aisle,bride groom leaving wedding,3.4,NEUTRAL
752,presentation watched classroom students,presentation attended classroom students,4.8,ENTAILMENT
754,presentation attended classroom students,classroom full students,3.4,NEUTRAL
757,presentation watched classroom students,classroom empty,3,NEUTRAL
760,boy hill covered snow wearing red jacket black hat sliding knees,boy bottom hill covered snow naked sitting knees,3.2,NEUTRAL
761,boy hill covered snow wearing red jacket black hat sliding knees,boy red black slide wearing jacket hat knees covered snow,3.5,NEUTRAL
762,kid happily sliding snow,kid sliding snow,4.5,ENTAILMENT
764,snow slide full kids,kid sliding snow,3.4,NEUTRAL
766,boy hill covered snow wearing red jacket black hat sliding knees,kid still snow,3.4,ENTAILMENT
769,kid sliding snow,boy bottom hill covered snow naked sitting knees,2.7,NEUTRAL
772,woman dog peacefully sitting tree stump,woman dog sitting tree stump,4.5,ENTAILMENT
774,"woman, old, near dog white coat","woman, old, near white dog",4.4,ENTAILMENT
777,"woman, old, far white dog",woman dog sitting tree stump,2.4,NEUTRAL
783,man watering grass excitedly playing dog,dog excitedly playing water grass,3.5,NEUTRAL
784,dog biting droplets water,dog snapping droplets water,4.5,ENTAILMENT
785,dog snapping droplets water,dog snapping droplets water,4,CONTRADICTION
789,dog excitedly playing water grass,snap depicting water falling droplets dog,2.9,NEUTRAL
791,dog snapping droplets water,dog excitedly playing water grass,3.5,NEUTRAL
792,man watering grass excitedly playing dog,dog snapping droplets water,2.4,NEUTRAL
793,dog snapping droplets water,dog excitedly playing water grass,4.2,NEUTRAL
796,"two people snow, wearing clothes provide camouflage","people snow, wearing clothes provide camouflage",4.4,ENTAILMENT
797,nobody snow wearing clothes provide camouflage,"two people snow, wearing clothes provide camouflage",3.3,CONTRADICTION
799,"people snow, wearing clothes provide camouflage",two people walking two dogs golden coats snow,2.7,NEUTRAL
802,"two people snow, wearing clothes provide camouflage",two men walking two dogs golden coats snow,3.2,NEUTRAL
804,"two people snow, wearing clothes provide camouflage",two people walking two dogs golden coats snow,2.7,NEUTRAL
