pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment
50,two spectators kickboxing people watching,two women sparring kickboxing match,3.6,NEUTRAL
51,two people kickboxing spectators watching,two women sparring kickboxing match,3.9,NEUTRAL
52,kids red shirts playing leaves,children red shirts playing leaves,4.9,ENTAILMENT
53,children red shirts playing leaves,children red shirts sleeping leaves,4,NEUTRAL
54,children red shirts playing leaves,children covered leaves playing red shirts,3.9,NEUTRAL
57,three boys jumping leaves,children red shirts playing leaves,4.1,NEUTRAL
59,kids red shirts playing leaves,three kids jumping leaves,3.9,NEUTRAL
60,children red shirts sleeping leaves,three kids jumping leaves,3.1,NEUTRAL
61,children covered leaves playing red shirts,three kids jumping leaves,3.9,NEUTRAL
63,two children lying snow drawing angels,two children lying snow making snow angels,4.4,ENTAILMENT
64,two children lying snow making snow angels,child lying snow making snow angels,3.8,CONTRADICTION
66,two people wearing snowsuits ground making snow angels,two people snowsuits lying snow making snow angels,4.8,ENTAILMENT
67,two people snowsuits lying snow making snow angels,nobody snowsuits lying snow making snow angels,4.1,CONTRADICTION
68,two children lying snow making snow angels,two people wearing snowsuits ground making snow angels,4.6,NEUTRAL
69,two children lying snow making snow angels,nobody snowsuits lying snow making snow angels,3.6,CONTRADICTION
71,child lying snow making snow angels,two people snowsuits lying snow making snow angels,3.3,NEUTRAL
74,little girl looking woman costume,young girl looking woman costume,4.7,ENTAILMENT
75,little girl looking woman costume,little girl looking man costume,3.8,NEUTRAL
76,little girl looking woman costume,little girl costume looks like woman,2.9,NEUTRAL
80,masked people looking direction forest,little girl looking woman costume,1.3,NEUTRAL
86,little girl looking woman costume,people wearing costumes gathering forest looking direction,2.6,NEUTRAL
89,man jumping empty swimming pool,man jumping empty pool,4.8,ENTAILMENT
92,lone biker jumping air,man jumping empty swimming pool,1.6,NEUTRAL
95,man jumping empty pool,"biker jumping air, alone",1.6,NEUTRAL
96,man jumping empty pool,biker jumping air,1.2,NEUTRAL
101,four girls backbends playing outdoors,four girls backbends playing indoors,4,NEUTRAL
102,four girls backbends playing garden,four children backbends park,3.7,NEUTRAL
103,four girls backbends playing indoors,four children backbends park,3.7,NEUTRAL
104,four kids backbends park,four girls backbends playing outdoors,4.3,ENTAILMENT
106,four girls backbends playing outdoors,four children backbends park,4.1,NEUTRAL
108,player throwing ball,player running ball,3.5,NEUTRAL
109,two groups people playing football,two teams competing football match,4.7,ENTAILMENT
110,two teams competing football match,two teams competing baseball game,3.9,NEUTRAL
111,two teams competing football match,football played two competing teams,4.8,ENTAILMENT
114,player running ball,football played two competing teams,3,NEUTRAL
115,two teams competing football match,man playing running ball hands,2.7,NEUTRAL
118,five children standing front wooden hut,five children standing front hut made wood,4.8,ENTAILMENT
121,five kids standing close together one kid gun,five kids standing close together one kid weapon,4.8,ENTAILMENT
123,five children standing front wooden hut,five kids standing close together one kid weapon,2.8,NEUTRAL
125,five children standing front hut made wood,five kids standing close together one kid gun,3,NEUTRAL
128,five children standing front wooden hut,five kids standing close together one kid gun,2.3,NEUTRAL
132,person wearing hat sitting grass,person wearing hat sitting grass,3.3,CONTRADICTION
134,person sitting field wearing hat,man sitting field,4,NEUTRAL
135,man sitting field,person wearing hat sitting grass,2.7,NEUTRAL
137,old man sitting field,person wearing hat sitting grass,2.8,NEUTRAL
138,person wearing hat sitting grass,man running field,1.4,NEUTRAL
142,group people practicing water safety wearing preservers,preservers worn group people practicing water safety,4.9,ENTAILMENT
143,nobody practicing water safety wearing preservers,group people practicing water safety wearing preservers,3.4,CONTRADICTION
144,group friends riding current raft,preservers worn group people practicing water safety,2.9,NEUTRAL
145,nobody practicing water safety wearing preservers,group friends riding current raft,2.2,NEUTRAL
147,group riding current raft,group people practicing water safety wearing preservers,2.8,NEUTRAL
149,deer jumping fence,deer jumping enclosure,4.535,ENTAILMENT
151,wild deer jumping fence,deer jumping fence,4.8,ENTAILMENT
152,deer jumping fence,deer jumping fences,4.1,CONTRADICTION
153,wild deer jumping fence,deer jumping fence,4.5,ENTAILMENT
154,deer jumping fences,deer jumping fence,2.685,CONTRADICTION
155,deer jumping enclosure,deer jumping fence,4.2,NEUTRAL
156,deer jumping fence,deer jumping fence,3.55,CONTRADICTION
157,deer jumping fence,deer jumping fence,4.9,ENTAILMENT
158,people walking outside building many murals,people walking outside building several murals,4.7,ENTAILMENT
160,several people front building covered colors,several people front colorful building,4.7,ENTAILMENT
162,several people front building covered colors,people walking outside building many murals,3.8,ENTAILMENT
165,several people front colorful building,people walking inside building many murals,3.4,NEUTRAL
166,people walking outside building many murals,several people front colorful building,3.7,NEUTRAL
167,boy hitting baseball,child hitting baseball,4.4,ENTAILMENT
168,child hitting baseball,child missing baseball,3.8,CONTRADICTION
169,family watching little boy hitting baseball,family watching boy hitting baseball,4.6,ENTAILMENT
171,little boy watching family hitting baseball,family watching little boy hitting baseball,3.7,NEUTRAL
172,family watching boy hitting baseball,child hitting baseball,3.7,ENTAILMENT
174,little boy watching family hitting baseball,child hitting baseball,3.7,NEUTRAL
175,family watching little boy hitting baseball,boy hitting baseball,4.2,ENTAILMENT
177,family watching little boy hitting baseball,child hitting baseball,4.1,ENTAILMENT
178,large group asian people eating restaurant,group people asia eating restaurant,4.8,ENTAILMENT
179,large group asian people eating restaurant,small group people waiting eat restaurant,3.4,NEUTRAL
180,large group asian people eating restaurant,group people large asian restaurant eating,3.5,NEUTRAL
181,various people eating red tables crowded restaurant purple lights,various customers eating crowded restaurant purple lights,4.6,ENTAILMENT
182,people eating red tables restaurant without lights,various people eating red tables crowded restaurant purple lights,3.2,NEUTRAL
187,group people asia eating restaurant,various people eating red tables crowded restaurant purple lights,3,NEUTRAL
189,group people large asian restaurant eating,various people eating red tables crowded restaurant purple lights,3.3,NEUTRAL
190,large group asian people eating restaurant,various people eating red tables crowded restaurant purple lights,3.3,NEUTRAL
191,motorcycle rider standing seat white motorcycle,motorcycle riding standing seat vehicle,4.1,ENTAILMENT
193,someone black white motorcycle standing seat,rider black white bike standing seat,4.6,ENTAILMENT
195,rider black white bike standing seat,motorcycle rider standing seat white motorcycle,3.6,NEUTRAL
196,nobody motorcycle standing seat,motorcycle rider standing seat white motorcycle,3.6,CONTRADICTION
198,someone black white motorcycle standing seat,motorcycle rider standing seat motorcycle,3.6,CONTRADICTION
199,someone black white motorcycle standing seat,motorcycle rider standing seat white motorcycle,3.7,NEUTRAL
203,motorcyclist red helmet riding blue motorcycle road,motorcyclist without helmet waiting blue motorcycle near road,3.7,NEUTRAL
204,man helmet painted red riding blue motorcycle road,motorcyclist riding motorbike along roadway,4,ENTAILMENT
206,motorcyclist red helmet riding blue motorcycle road,motorcyclist riding motorbike dangerously along roadway,3.8,NEUTRAL
207,motorcyclist riding motorbike along roadway,motorcyclist red helmet riding blue motorcycle road,3.3,CONTRADICTION
208,motorcyclist red helmet riding blue motorcycle road,motorcyclist riding motorbike along roadway,4.5,ENTAILMENT
209,dog catching stick air another watching,dog leaping high air another watching,4.2,ENTAILMENT
210,dog leaping air,dog leaping high air another watching,3.3,CONTRADICTION
212,two dogs playing tree,two dogs sleeping tree,3.565,NEUTRAL
213,dog leaping high air another watching,two dogs playing plant,2.8,NEUTRAL
214,dog leaping high air another watching,two dogs sleeping tree,2.6,NEUTRAL
220,dancer dancing front sound equipment,blond girl dancing front sound equipment,4.4,NEUTRAL
221,blond girl dancing behind sound equipment,blond girl dancing front sound equipment,3.9,NEUTRAL
222,blond girl dancing front sound equipment,equipment front blond dancing girl sound,3.9,ENTAILMENT
229,children family patiently playing waiting,children family playing waiting,4.5,ENTAILMENT
230,children family playing waiting,children playing waiting,3.1,CONTRADICTION
231,three asian kids dancing serious man looking,three asian kids dancing man looking,4.5,ENTAILMENT
235,children family playing waiting,three asian kids dancing man looking,2.7,NEUTRAL
239,three asian kids dancing man looking,children family playing waiting,2.3,NEUTRAL
242,woman wearing egyptian headdress,egyptian wearing woman's headdress,3.9,NEUTRAL
243,woman wearing glasses black headdress,woman black hat wearing sunglasses,3.9,NEUTRAL
244,woman wearing glasses headdress,woman wearing glasses black headdress,3.9,CONTRADICTION
245,black woman wearing glasses headdress,woman wearing glasses black headdress,3.7,NEUTRAL
246,woman wearing egyptian headdress,woman black hat wearing sunglasses,2.3,NEUTRAL
247,woman wearing glasses headdress,woman wearing egyptian headdress,3.6,CONTRADICTION
250,woman wearing indian headdress,woman wearing glasses black headdress,3,NEUTRAL
251,woman wearing glasses black headdress,egyptian wearing woman's headdress,3.1,NEUTRAL
252,woman wearing glasses black headdress,woman wearing egyptian headdress,3.8,NEUTRAL
255,man rock high trees standing uncomfortable position,man rock high trees standing strange position,4.2,ENTAILMENT
261,man rock high trees standing strange position,hiker top mountain dancing,3.2,NEUTRAL
262,cowgirl riding brown horse cornering barrel,cowgirl riding horse corners barrel,4.7,ENTAILMENT
263,cowboy riding horse cornering barrel,cowgirl riding horse corners barrel,4.1,NEUTRAL
264,cowgirl riding barrel near horse corner,cowgirl riding horse corners barrel,2.8,NEUTRAL
267,brown horse near red barrel rodeo,cowgirl riding horse corners barrel,2.9,NEUTRAL
268,brown horse far red barrel rodeo,cowgirl riding horse corners barrel,2.5,NEUTRAL
270,cowboy riding horse cornering barrel,brown horse near red barrel rodeo,3.7,NEUTRAL
271,brown horse near red barrel rodeo,cowgirl riding barrel near horse corner,3.1,NEUTRAL
274,boy standing outside water,boy standing water,3.6,NEUTRAL
275,kid swimming blue ocean,boy wading blue ocean,4.2,NEUTRAL
278,boy standing water,boy sitting near blue ocean,2.8,NEUTRAL
281,boy standing water,boy wading blue ocean,4,NEUTRAL
282,skilled man playing guitar stage,man playing guitar stage,4.6,ENTAILMENT
284,person blonde flyaway hair playing guitar,guitarist blonde flyaway hair,4.7,ENTAILMENT
288,skilled man playing guitar stage,person blonde flyaway hair playing guitar,3.8,NEUTRAL
290,man playing guitar stage,person blonde flyaway hair playing guitar,3,NEUTRAL
292,several children sitting knees raised,several children standing,3.285,NEUTRAL
294,two girls lying ground,two girls sitting ground,3.8,NEUTRAL
295,two young girls sitting ground,several children sitting knees raised,2.9,NEUTRAL
297,several children lying raising knees,two girls sitting ground,2.3,NEUTRAL
298,several children standing,two girls sitting ground,1.8,NEUTRAL
299,several children sitting knees raised,two girls sitting ground,3.2,NEUTRAL
300,nude lady walking front many people body paint,nude lady walking front crowd body paint,4.7,ENTAILMENT
306,"old, topless woman covered paint",nude lady walking front crowd body paint,3.1,NEUTRAL
307,"young, topless woman covered paint",nude lady walking front many people body paint,3.5,NEUTRAL
308,lady walking body paint front crowd,"young, topless woman covered paint",3.2,NEUTRAL
314,group children uniforms standing gate one kissing mother,group children uniforms standing gate one kissing mother,3.8,CONTRADICTION
316,crowd people near water,group children wearing clothes waiting gate one kissing mother,1.6,NEUTRAL
318,group mothers uniforms standing near children one kissing gate,crowd people near water,1.7,NEUTRAL
319,group people near ocean,group children uniforms standing gate one kissing mother,1.8,NEUTRAL
320,crowd people far water,group children uniforms standing gate one kissing mother,1,NEUTRAL
321,crowd people near water,group children uniforms standing gate one kissing mother,1.9,NEUTRAL
322,man parking lot playing tennis large wall,lone man parking lot playing tennis large wall,4.7,ENTAILMENT
324,man pointing silver sedan,man pointing car,4.4,ENTAILMENT
325,man pointing silver sedan,man pointing car,4.1,CONTRADICTION
326,man pointing car,man parking lot playing tennis large wall,2.3,NEUTRAL
328,man pointing silver sedan,lone man parking lot playing tennis large wall,1.4,NEUTRAL
330,man pointing silver sedan,man parking lot playing tennis large wall,1.3,NEUTRAL
334,"man, woman two girls walking beach","man, woman two girls sitting beach",3.1,NEUTRAL
336,"man, woman two girls sitting beach",group people beach,4.4,ENTAILMENT
337,"man, woman two girls walking beach",group people near sea,3.8,ENTAILMENT
343,asian woman crowd carrying black bag,asian woman midst many people carrying black bag,4.8,ENTAILMENT
345,asian woman midst many people carrying black bag,girl black bag crowded train,3.5,NEUTRAL
348,girl black bag crowded train,asian woman crowd carrying black bag,2.6,NEUTRAL
349,asian woman crowd carrying black bag,cramped black train bag girl,2.1,NEUTRAL
350,girl black bag crowded train,asian woman crowd carrying black bag,3.2,NEUTRAL
352,dog chasing another holding stick mouth,dog chasing another holding stick mouth,3.9,CONTRADICTION
353,dog chasing another holding stick mouth,dog chasing stick holding another dog mouth,3.2,NEUTRAL
355,dog running carrying object mouth,two dogs running carrying object mouths,3.5,CONTRADICTION
356,two dogs running carrying toy mouths,dog chasing another holding stick mouth,4.2,NEUTRAL
357,dog running carrying object mouth,dog chasing another holding stick mouth,3.1,CONTRADICTION
359,dog chasing another holding stick mouth,two dogs running carrying object mouths,3.9,NEUTRAL
364,person plays soccer kicking ball goal,soccer player kicking ball goal,4.9,ENTAILMENT
365,soccer player kicking ball goal,soccer player kicking ball goal,4.4,NEUTRAL
368,dirty soccer ball rolling goal net,soccer player kicking ball goal,3.8,NEUTRAL
369,soccer player kicking ball goal,soccer ball rolling goal net,2.8,NEUTRAL
371,man resting chair rubbing eyes,man sitting chair rubbing eyes,4.3,ENTAILMENT
376,man sitting chair rubbing eyes,tattooed man sofa holding pencil,2.4,NEUTRAL
383,brown white dog resting grass,brown white dog running tall grass,3.935,NEUTRAL
385,black tan dog running low green grass,white tan dog running tall green grass,4,NEUTRAL
386,white tan dog running field,brown white dog running tall grass,4,NEUTRAL
388,brown white dog moving wild grass,white tan dog running tall green grass,3.6,NEUTRAL
389,white tan dog running tall green grass,brown white dog resting grass,3.4,NEUTRAL
399,man wearing clothes covered paint sitting outside busy area writing something,man sitting near bike writing note,2.7,NEUTRAL
400,man sitting near bike writing note,sitting man busy writing something area covered paint,3.2,NEUTRAL
401,man sitting near bike writing note,man wearing clothes covered paint sitting outside busy area writing something,3.7,NEUTRAL
405,people walking,people standing,3.5,NEUTRAL
406,group scouts hiking grass,people walking,3.6,ENTAILMENT
407,people standing,group scouts hiking grass,1.8,NEUTRAL
408,group explorers walking grass,people walking,4.1,ENTAILMENT
411,two men taking break trip snowy road,two men taking break trip road covered snow,4.9,ENTAILMENT
412,two men taking break trip snowy road,two men walking snowy road,3.3,NEUTRAL
414,two men holding bikes standing side road covered snow,two men bikes side snowy road,4.7,ENTAILMENT
416,two men taking break trip snowy road,two men holding bikes standing side road covered snow,3.8,NEUTRAL
418,two men bikes side snowy road,two men taking break trip road covered snow,3.2,NEUTRAL
419,two men bikes side snowy road,two men walking snowy road,3.9,NEUTRAL
420,two men bikes side snowy road,two men breaking car trip snowy road,2.2,NEUTRAL
421,two men bikes side snowy road,two men taking break trip snowy road,3.7,NEUTRAL
424,two men standing near water holding fishing poles,two men standing near water holding tools used fishing,4.5,ENTAILMENT
425,man standing near water holding fishing poles,two men standing near water holding fishing poles,3.4,CONTRADICTION
426,two men holding water standing near fishing poles,two men standing near water holding fishing poles,3.6,NEUTRAL
429,two men holding fishing poles,two men holding water standing near fishing poles,2.6,NEUTRAL
430,two men standing near water holding fishing poles,two men holding fishing poles fishing tackle,3.9,NEUTRAL
431,two men holding fishing poles,two men standing near water holding fishing poles,3.6,CONTRADICTION
432,two men standing near water holding fishing poles,two men holding fishing poles,4.4,ENTAILMENT
433,helmeted girl perching bike,girl helmet perching bike,4.9,ENTAILMENT
437,woman jumping bicycle,helmeted girl perching bike,2.8,NEUTRAL
443,blond girl riding waves,blond girl looking waves,3.8,NEUTRAL
444,blond girl riding waves,blond girl waves riding,3.2,NEUTRAL
445,lady surfing riding wave,woman surfing,4.6,ENTAILMENT
448,boy surfing riding wave,blond girl riding waves,3.6,NEUTRAL
452,lady surfing riding wave,blond girl riding waves,4,NEUTRAL
453,two children adult standing next tree limb,three people standing next tree limb,4.6,ENTAILMENT
455,two children hanging large branch,two children climbing tree,4.2,ENTAILMENT
456,child hanging large branch,two children hanging large branch,3.3,CONTRADICTION
458,two children adult standing next tree limb,child hanging large branch,2.4,NEUTRAL
459,three people standing next tree limb,two children hanging large branch,2.5,NEUTRAL
460,two children hanging large branch,two children adult standing next tree limb,2.4,NEUTRAL
463,man dressed black riding green bike,man dressed black riding bike,3.2,CONTRADICTION
464,black man green riding bike,man dressed black riding bike,3.5,NEUTRAL
466,man performing trick green bicycle,man performing trick green bicycle,4.8,CONTRADICTION
467,man dressed black riding bike,man performing stunts green bicycle,3.3,NEUTRAL
468,man performing trick green bicycle,man dressed black riding bike,2.8,NEUTRAL
469,man performing trick green bicycle,man performing trick bike,4.5,ENTAILMENT
471,man performing trick green bicycle,black man green riding bike,2.7,NEUTRAL
472,man performing trick green bicycle,man dressed black riding bike,3.8,NEUTRAL
474,child holding squirt gun,child holding squirt gun,3.035,CONTRADICTION
478,child holding squirt gun,child holding water gun getting sprayed water,4.085,CONTRADICTION
479,boy holding squirt gun,laughing child holding water gun getting sprayed water,4,NEUTRAL
480,child holding squirt gun,laughing child holding water gun getting sprayed water,3.6,CONTRADICTION
481,laughing child holding water gun getting sprayed water,child holding squirt gun,4.5,ENTAILMENT
482,two brown dogs fighting red ball playing grass,two brown dogs fighting red toy playing grass,4.7,ENTAILMENT
483,two brown dogs fighting red ball playing grass,dog playing red ball,2.5,NEUTRAL
487,two cats playing red ball,two brown dogs fighting red ball playing grass,2.95,NEUTRAL
488,two daschunds playing red ball,two brown dogs fighting red toy playing grass,3.8,NEUTRAL
490,two daschunds playing red ball,two brown dogs fighting red ball playing grass,3.7,NEUTRAL
492,black white dog running person stands behind,black white dog running person standing behind,3.3,CONTRADICTION
493,black person running along white stand dog barks behind,black white dog running person stands behind,2.4,NEUTRAL
495,little dog slowing owner quitting chasing,little dog sprinting owner trying catch,3.9,NEUTRAL
498,"dog, black white, running person stands behind",little dog sprinting owner trying catch,3.7,NEUTRAL
501,black white dog running person stands behind,little dog sprinting owner trying catch,3.3,NEUTRAL
502,man sitting comfortably table,person sitting comfortably table,4.5,ENTAILMENT
503,man sitting comfortably table,man sitting comfortably table,3.45,CONTRADICTION
504,man sitting tables comfortable discussion,man sitting comfortably table,3.7,NEUTRAL
509,man sitting comfortably table,"man wearing shirt dyed black, sitting table laughing",2.8,NEUTRAL
510,man sitting comfortably table,laughing man dyeing shirt black table cannot sit,2.4,NEUTRAL
511,man wearing dyed black shirt sitting table laughing,person sitting comfortably table,3,NEUTRAL
512,man wearing dyed black shirt sitting table laughing,man sitting comfortably table,3,NEUTRAL
517,woman wearing pink boa riding bicycle bridge built pedestrians,pedestrian woman building pink bicycles boa wearing riders,2.8,NEUTRAL
518,"woman wearing silver pants, pink bellbottoms pink scarf happily riding bike","woman wearing silver pants, pink bellbottoms pink scarf riding bike",4.7,ENTAILMENT
519,"woman wearing silver pants, pink bellbottoms pink scarf riding bike","woman wearing silver pants, pink bellbottoms pink scarf riding bike",4,CONTRADICTION
521,"woman wearing silver pants, pink bellbottoms pink scarf happily riding bike",woman wearing pink boa riding bicycle bridge built pedestrians,3,NEUTRAL
523,woman wearing pink boa riding bicycle bridge built pedestrians,pink bellbottoms pink scarf worn women silver pants bike riding people,2.7,NEUTRAL
525,"woman wearing silver pants, pink bellbottoms pink scarf riding bike",woman taking pink boa stopping bicycle bridge built pedestrians,2.5,NEUTRAL
532,man wearing black helmet pushing bicycle,one man wearing black helmet pushing bicycle,3.1,CONTRADICTION
533,one man wearing black helmet pushing bicycle,man pushing helmet towards another one black bicycle,3.4,NEUTRAL
534,black helmet worn man pushing bicycle,biker wearing gear black,3.5,NEUTRAL
536,man pushing helmet towards another one black bicycle,biker wearing gear black,2.4,NEUTRAL
537,"person, riding bike, wearing gear black",one man wearing black helmet pushing bicycle,3.3,NEUTRAL
539,one man wearing black helmet pushing bicycle,biker wearing black breaking gears,2.3,NEUTRAL
540,biker wearing gear black,one man wearing black helmet pushing bicycle,3.3,NEUTRAL
543,man grey t-shirt sitting rock front waterfall,rocker sitting t-shirt man grey waterfall front,3,NEUTRAL
544,one woman sitting looks waterfall,woman sitting looking waterfall,4.6,ENTAILMENT
546,woman sitting looking waterfall,somebody sitting waterfall looking woman,3.1,NEUTRAL
547,man grey t-shirt sitting rock front waterfall,one woman sitting looks waterfall,2.685,NEUTRAL
549,man grey t-shirt sitting rock front waterfall,somebody sitting waterfall looking woman,3.5,NEUTRAL
553,woman sitting looking waterfall,man grey t-shirt sitting rock front waterfall,2.9,NEUTRAL
554,"dog, brown, black one racing grass","dog, brown, black one running grass",4.4,ENTAILMENT
558,dark black dog light brown dog playing backyard,dark black dog light brown dog fighting backyard,3.8,NEUTRAL
559,backyard light playing tricks dark brown black dog,dark black dog light brown dog playing backyard,3.1,NEUTRAL
562,backyard light playing tricks dark brown black dog,"dog, brown, black one running grass",2.5,NEUTRAL
563,"dog, brown, black one racing grass",dark black dog light brown dog playing backyard,3.6,NEUTRAL
566,"dog, brown, black one running grass",dark black dog light brown dog playing backyard,3.9,NEUTRAL
567,dog brown white coat trotting shallow water,dog white brown colored coat trotting shallow water .,5,ENTAILMENT
569,dog brown white coat trotting shallow water,brown white coat floating across shallow water near trotting dog,2.9,NEUTRAL
571,white brown dog walking water difficulty,white brown dog pacing water difficulty,2.6,CONTRADICTION
572,white man walking dog brown water difficulty,white brown dog walking water difficulty,3.6,NEUTRAL
573,white brown dog pacing water difficulty,dog brown white coat trotting shallow water,3.8,NEUTRAL
574,dog brown white coat trotting shallow water,white brown dog pacing water difficulty,3.1,NEUTRAL
575,white man walking dog brown water difficulty,dog brown white coat trotting shallow water,2.3,NEUTRAL
576,dog white brown colored coat trotting shallow water .,white brown dog walking water difficulty,4,NEUTRAL
577,dog brown white coat sitting shallow water,white brown dog walking water difficulty,3.5,NEUTRAL
578,white brown dog walking water difficulty,brown white coat floating across shallow water near trotting dog,2.5,NEUTRAL
579,white brown dog walking water difficulty,dog brown white coat trotting shallow water,3.7,NEUTRAL
580,group boys playing ball front large door made wood,bunch boys playing ball front large door made wood,4.9,ENTAILMENT
582,group boys playing ball front large door made wood,ball made wood played door front large group boys,3.6,NEUTRAL
583,"children playing front door, large",children playing front large door,4.9,ENTAILMENT
584,children playing front large door,children playing front large door,4.3,CONTRADICTION
585,group boys playing ball front large door made wood,"children playing front door, large",3.8,ENTAILMENT
589,children playing front large door,ball made wood played door front large group boys,3.4,NEUTRAL
590,group boys playing ball front large door made wood,children playing front large door,4.2,ENTAILMENT
591,"woman taking cloak, large, revealing extravagant dress","woman taking cloak, large, revealing extravagant apparel",4.3,ENTAILMENT
593,"black, red, white pink dress worn woman","dress, black, red, white pink worn woman",4.9,ENTAILMENT
594,"black, red, white pink dress worn woman","black, red, white pink dress worn woman",3.8,CONTRADICTION
595,"dress, black, red, white pink worn woman","woman taking cloak, large, revealing extravagant dress",3.6,NEUTRAL
596,"black, red, white pink dress worn woman","woman taking cloak, large, revealing extravagant dress",2.4,NEUTRAL
598,"woman putting cloak, large, concealing extravagant dress","black, red, white pink dress worn woman",3.2,NEUTRAL
600,teenage girl wearing beads red,teenage girl wearing beads red,5,ENTAILMENT
602,teenage girl wearing beads red,girl likes red wearing beads teenagers,2.8,NEUTRAL
607,teenage girl wearing beads red,"young lady light brown hair wearing red necklace, sweatshirt earrings smiling",3.2,NEUTRAL
608,teenage girl wearing beads red,"red sweatshirt smiling lady upon suited worn light brown hair, earrings necklace",1.915,NEUTRAL
610,teenage girl storing away beads red,"young lady light brown hair wearing red necklace, sweatshirt earrings smiling",2,NEUTRAL
612,"young lady light brown hair wearing red necklace, sweatshirt earrings smiling",teenage girl wearing beads red,3,ENTAILMENT
613,boy climbing wall artificially built climbing attached rope,boy effortlessly climbing wall artificially built climbing attached rope,4.9,ENTAILMENT
614,boy climbing wall artificially built climbing attached rope,boy coming wall artificially built climbing attached rope,3.935,CONTRADICTION
615,boy climbing wall artificially built climbing attached rope,climber wall attached climbing boy artificially built rope,4.2,NEUTRAL
616,fearful little boy climbing wall,"little boy, looks fearful, climbing wall .",5,ENTAILMENT
618,climbing boy rescues fearful cat wall,fearful little boy climbing wall,2.8,NEUTRAL
620,boy climbing wall artificially built climbing attached rope,fearful little boy ground,2.6,NEUTRAL
623,boy coming wall artificially built climbing attached rope,fearful little boy climbing wall,3,NEUTRAL
624,climber wall attached climbing boy artificially built rope,fearful little boy climbing wall,3.4,NEUTRAL
627,father launching daughter swimming pool,father taking away daughter swimming pool,3.3,NEUTRAL
633,man tossing kid swimming pool near ocean,father launching daughter swimming pool,3,NEUTRAL
635,dad launching daughter swimming pool,man tossing kid swimming pool near ocean,4.2,NEUTRAL
636,father taking away daughter swimming pool,man tossing kid swimming pool near ocean,2.9,NEUTRAL
639,one man climbing cliff rope,one man climbing cliff rope,4.9,ENTAILMENT
640,one man descending cliff rope,one man climbing cliff rope,3.3,NEUTRAL
642,"person climbing rock rope, pink","rock climbed person rope, pink",5,ENTAILMENT
644,"person climbing rock rope, pink",person pink climbing gear roped rock,3.4,NEUTRAL
652,young boy climbing wall made rock,one young boy climbing wall made rock,4.8,ENTAILMENT
654,young climber making rock wall boys,young boy climbing wall made rock,3.3,NEUTRAL
656,young child climbing rock climbing wall indoors,young child rock climbing wall indoors,4,NEUTRAL
658,young boy climbing wall made rock,young kid climbing rock climbing wall indoors,4.3,NEUTRAL
659,young child rock climbing wall indoors,young boy climbing wall made rock,3.4,NEUTRAL
662,young boy climbing wall made rock,young child climbing rock climbing wall indoors,3.9,NEUTRAL
664,young child climbing rock climbing wall indoors,young boy climbing wall made rock,4.2,NEUTRAL
665,one man trick bicycle midair,one man bicycle trick midair,4.8,ENTAILMENT
666,one man bicycle trick midair,man failing perform bicycle trick midair,3.5,NEUTRAL
